Achievements,Desc,Details
Monster Hunter,Master Monster Slayer,Complete all of the Slayer Achievements.
Duelist,Master Duelist,Win 100 duels against other players.
Covenant Skyshard Hunter,Covenant Skyshard Hunter,Find all the skyshards located throughout the Daggerfall Covenant.
Dominion Skyshard Hunter,Dominion Skyshard Hunter,Find all the skyshards located throughout the Aldmeri Dominion.
Pact Skyshard Hunter,Pact Skyshard Hunter,Find all the skyshards located throughout the Ebonheart Pact.
Craglorn Skyshard Hunter,Craglorn Skyshard Hunter,Find all the skyshards located throughout Craglorn.
Cyrodiil Skyshard Hunter,Cyrodiil Skyshard Hunter,Find all the skyshards located throughout Cyrodiil.
Master Wizard,Arch-Mage,Complete the Mages Guild series of quests.
Fighters Guild Victor,Fighters Guild Veteran,Complete the Fighters Guild series of quests.
Undaunted,Truly Undaunted,Reach rank 10 in the Undaunted Skill Line.
Locksmith,Legerdemain Skill Master,Reach the max level of the Legerdemain Skill Line.
Style Master,True Style Master,Learn 50 full motifs.
Grand Master Crafter,Grand Master Crafter,"Reach level 50 in all crafts, learn all traits at least once, learn 100 recipes, learn 50 full motifs, learn all traits for the original alchemy reagents, translate all original Potency runes, and complete 100 master writs."
Savior of Nirn,Tamriel Anchor Destroyer,"Destroy every Dark Anchor in Aldmeri Dominion, Ebonheart Pact, Daggerfall Covenant, and Cyrodiil territory."
Enemy of Coldharbour,Anchor Devastator,Destroy 250 Dark Anchors from Coldharbour.
Daedric Lord Slayer,General Executioner,Destroy all of Molag Bal's generals that appear at the Dark Anchors.
Deadlands Adept,Deadlands Savvy,Complete all the achievements associated with the Veteran City of Ash Dungeon.
Mageslayer,Aetherian Archive Conqueror,Defeat the Celestial Mage in Veteran Aetherian Archive.
Shehai Shatterer,Hel Ra Citadel Conqueror,Defeat the Celestial Warrior in Veteran Hel Ra Citadel.
Ophidian Overlord,Sanctum Ophidia Conqueror,Defeat the Celestial Serpent in Veteran Sanctum Ophidia.
Dragonstar Arena Champion,Dragonstar Arena Champion,Conquer all challengers and earn the title of Dragonstar Arena Champion!
Boethiah's Scythe,Dragonstar Arena Conqueror,Conquer all challengers on the increased difficulty version of Dragonstar Arena.
Explorer,Tamriel Master Cave Delver,Complete every cave exploration achievement in Tamriel.
Master Angler,Master Fisher,"Complete all fishing achievements in Aldmeri Dominion, Ebonheart Pact, Daggerfall Covenant, and Cyrodiil territory."
Count / Countess,Count / Countess,Obtain and enter all three of the following notable homes.
Lord / Lady,Lord / Lady,Obtain and enter Daggerfall Overlook.
Clan Father / Clan Mother,Clan Father / Clan Mother,Obtain and enter Serenity Falls Estate.
Councilor,Councilor,Obtain and enter Ebonheart Chateau.
Covenant Hero,Hero of the Daggerfall Covenant,Complete all Daggerfall Covenant achievements.
Dominion Hero,Hero of the Aldmeri Dominion,Complete all Aldmeri Dominion quest achievements.
Pact Hero,Hero of the Ebonheart Pact,Complete all Ebonheart Pact achievements.
Tamriel Hero,Tamriel Expert Adventurer,Complete all of the quest achievements across Tamriel.
Soul Mage Maven,Soul Magic Skill Master,Reach the max rank of the Soul Magic Skill Line.
Emperor /,Emperor!,Congratulations! Your leadership has enabled your alliance to dominate Cyrodiil.
Former Emperor,,"In recognition of this achievement, you have been crowned Emperor. Long may you reign!"
Siegemaster,Alliance War Skill Master,Reach the max level of the Assault and Support Skill Lines.
Battleground Butcher,Battleground Butcher,Win a Team Deathmatch with 500 points before any other team reaches 200 points.
Bloodletter,Pit Hero,"Defeat 1,000 opponents in Battlegrounds."
Chaos Champion,Chaos Champion,"Earn first Chaos Champion medal by dealing at least 500,000 points of damage to Chaosball carriers in a single Battleground match."
Chaos Guardian,Chaos Guardian,"Earn first Chaos Guardian medal by healing at least 375,000 points of damage for Chaosball carriers in a single Battleground match."
Chaos Keeper,Walk It Off,"Take 10,000,000 of damage from the Chaosball (cumulative)."
Conquering Hero,Conquering Hero,Win 50 Battleground matches.
Grand Champion,Grand Champion,"Earn a lifetime medal score of 250,000 points in Battlegrounds."
The Merciless,Quadruple Kill,"Earn your first Quadruple Kill Medal by defeating four opponents in a Team Deathmatch battle, each within ten seconds of the next."
